date_id,date,day,month,year
1,2020-01-01,1,1,2020
2,2020-01-02,2,1,2020
3,2020-01-03,3,1,2020
4,2020-01-04,4,1,2020
5,2020-01-05,5,1,2020
6,2020-01-06,6,1,2020
7,2020-01-07,7,1,2020
8,2020-01-08,8,1,2020
9,2020-01-09,9,1,2020
10,2020-01-10,10,1,2020
11,2020-01-11,11,1,2020
12,2020-01-12,12,1,2020
13,2020-01-13,13,1,2020
14,2020-01-14,14,1,2020
15,2020-01-15,15,1,2020
16,2020-01-16,16,1,2020
17,2020-01-17,17,1,2020
18,2020-01-18,18,1,2020
19,2020-01-19,19,1,2020
20,2020-01-20,20,1,2020
21,2020-01-21,21,1,2020
22,2020-01-22,22,1,2020
23,2020-01-23,23,1,2020
24,2020-01-24,24,1,2020
25,2020-01-25,25,1,2020
26,2020-01-26,26,1,2020
27,2020-01-27,27,1,2020
28,2020-01-28,28,1,2020
29,2020-01-29,29,1,2020
30,2020-01-30,30,1,2020
31,2020-01-31,31,1,2020
32,2020-02-01,1,2,2020
33,2020-02-02,2,2,2020
34,2020-02-03,3,2,2020
35,2020-02-04,4,2,2020
36,2020-02-05,5,2,2020
37,2020-02-06,6,2,2020
38,2020-02-07,7,2,2020
39,2020-02-08,8,2,2020
40,2020-02-09,9,2,2020
41,2020-02-10,10,2,2020
42,2020-02-11,11,2,2020
43,2020-02-12,12,2,2020
44,2020-02-13,13,2,2020
45,2020-02-14,14,2,2020
46,2020-02-15,15,2,2020
47,2020-02-16,16,2,2020
48,2020-02-17,17,2,2020
49,2020-02-18,18,2,2020
50,2020-02-19,19,2,2020
51,2020-02-20,20,2,2020
52,2020-02-21,21,2,2020
53,2020-02-22,22,2,2020
54,2020-02-23,23,2,2020
55,2020-02-24,24,2,2020
56,2020-02-25,25,2,2020
57,2020-02-26,26,2,2020
58,2020-02-27,27,2,2020
59,2020-02-28,28,2,2020
60,2020-02-29,29,2,2020
61,2020-03-01,1,3,2020
62,2020-03-02,2,3,2020
63,2020-03-03,3,3,2020
64,2020-03-04,4,3,2020
65,2020-03-05,5,3,2020
66,2020-03-06,6,3,2020
67,2020-03-07,7,3,2020
68,2020-03-08,8,3,2020
